id,recipe_name,pet_type,age_group,ingredients,ingredient_quantities,preparation_steps,calories,protein,fat,carbohydrates,vitamins,minerals,cook_time,difficulty,health_benefits,health_conditions_supported,source_url
DOG_011,Wholesome Turkey Breast & Potato Bowl,Dog,Adult,"Turkey Breast, Potato, Peas, Spinach, Coconut Oil","215g, 139g, 38g, 37g, 15g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Spinach) so they are easily digestible. | Mix the cooked Turkey Breast, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",127,15.9,4.2,6.8,"Vitamin D3, Niacin, Vitamin E","Manganese, Calcium, Magnesium, Copper",30 mins,Easy,Joint Health,Joint Health Support,https://pawfeed.ai/recipes/dog-wholesome-turkey-breast-and-potato-bowl
DOG_012,Slow-Cooked Egg & Quinoa Bake,Dog,Baby,"Egg, Quinoa, Broccoli, Spinach, Zucchini, Salmon Oil","202g, 100g, 39g, 39g, 66g, 5g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Spinach, Zucchini) so they are easily digestible. | Mix the cooked Egg, Quinoa, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",113,7.5,6.6,6.5,"Vitamin C, Vitamin D3, Folic Acid, Vitamin E","Selenium, Calcium, Zinc, Iron",25 mins,Easy,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/dog-slow-cooked-egg-and-quinoa-bake
DOG_013,Savory Tofu & Potato Bake,Dog,Baby,"Tofu, Potato, Celery, Flaxseed Oil","243g, 55g, 52g, 6g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery) so they are easily digestible. | Mix the cooked Tofu, Potato, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",81,5.9,5.0,4.4,"Vitamin A, Vitamin D3, Thiamine, Niacin","Zinc, Selenium, Phosphorus, Calcium",15 mins,Easy,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-savory-tofu-and-potato-bake
DOG_014,Premium Beef Lean & Pumpkin Puree Bowl,Dog,Adult,"Beef Lean, Pumpkin Puree, Spinach, Zucchini, Salmon Oil","166g, 53g, 47g, 50g, 11g","Thoroughly cook the Beef Lean in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Zucchini) so they are easily digestible. | Mix the cooked Beef Lean, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",167,14.0,11.1,2.0,"Vitamin E, Vitamin D3","Manganese, Phosphorus, Calcium",30 mins,Medium,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/dog-premium-beef-lean-and-pumpkin-puree-bowl
DOG_015,Homestyle Salmon Fillet & Quinoa Skillet Mix,Dog,Senior,"Salmon Fillet, Quinoa, Green Beans, Peas, Celery, Salmon Oil","231g, 128g, 41g, 70g, 45g, 12g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Peas, Celery) so they are easily digestible. | Mix the cooked Salmon Fillet, Quinoa, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",155,10.8,8.5,7.8,"Vitamin C, Vitamin A, Vitamin D3, Riboflavin","Manganese, Iron",25 mins,Easy,"Digestive Health, Puppy/Kitten","Digestive Health Support, Puppy/Kitten Support",https://pawfeed.ai/recipes/dog-homestyle-salmon-fillet-and-quinoa-skillet-mix
DOG_016,Wholesome Venison & White Rice Casserole,Dog,Baby,"Venison, White Rice, Celery, Salmon Oil","101g, 143g, 80g, 9g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery) so they are easily digestible. | Mix the cooked Venison, White Rice, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",129,10.4,3.8,12.7,"Vitamin B12, Vitamin D3, Riboflavin","Manganese, Copper",15 mins,Medium,"High Protein, Puppy/Kitten","High Protein Support, Puppy/Kitten Support",https://pawfeed.ai/recipes/dog-wholesome-venison-and-white-rice-casserole
DOG_017,Savory Beef Lean & White Rice Casserole,Dog,Senior,"Beef Lean, White Rice, Peas, Zucchini, Green Beans, Salmon Oil","128g, 150g, 47g, 61g, 59g, 7g","Thoroughly cook the Beef Lean in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Zucchini, Green Beans) so they are easily digestible. | Mix the cooked Beef Lean, White Rice, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",143,9.2,6.0,12.1,"Niacin, Vitamin B12, Vitamin E, Thiamine","Magnesium, Calcium, Iron",15 mins,Easy,"Digestive Health, Skin & Coat","Digestive Health Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-savory-beef-lean-and-white-rice-casserole
DOG_018,Premium Pork Loin & Oatmeal Stew,Dog,Baby,"Pork Loin, Oatmeal, Broccoli, Salmon Oil","201g, 74g, 26g, 5g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli) so they are easily digestible. | Mix the cooked Pork Loin, Oatmeal, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",271,22.1,12.5,16.6,"Vitamin C, Thiamine","Potassium, Zinc, Manganese, Calcium",25 mins,Easy,"Puppy/Kitten, Joint Health","Puppy/Kitten Support, Joint Health Support",https://pawfeed.ai/recipes/dog-premium-pork-loin-and-oatmeal-stew
DOG_019,Savory Turkey Breast & Pumpkin Puree Mash,Dog,Baby,"Turkey Breast, Pumpkin Puree, Broccoli, Flaxseed Oil","216g, 86g, 29g, 12g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli) so they are easily digestible. | Mix the cooked Turkey Breast, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",125,19.4,4.5,2.2,"Vitamin B12, Vitamin E, Riboflavin, Vitamin C","Phosphorus, Selenium, Calcium",15 mins,Easy,"Puppy/Kitten, Skin & Coat","Puppy/Kitten Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-savory-turkey-breast-and-pumpkin-puree-mash
DOG_020,Slow-Cooked Egg & Quinoa Puree topper,Dog,Adult,"Egg, Quinoa, Spinach, Coconut Oil","187g, 141g, 33g, 14g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach) so they are easily digestible. | Mix the cooked Egg, Quinoa, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",157,8.4,10.0,8.8,"Vitamin D3, Vitamin B12, Riboflavin","Phosphorus, Manganese, Selenium, Potassium",15 mins,Easy,High Protein,High Protein Support,https://pawfeed.ai/recipes/dog-slow-cooked-egg-and-quinoa-puree-topper
DOG_021,Savory Chicken Breast & Brown Rice Bowl,Dog,Baby,"Chicken Breast, Brown Rice, Carrots, Flaxseed Oil","221g, 121g, 67g, 15g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Chicken Breast, Brown Rice, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",155,17.0,5.7,8.1,"Niacin, Vitamin A","Zinc, Iron, Phosphorus, Copper",25 mins,Medium,General Wellness,General Wellness Support,https://pawfeed.ai/recipes/dog-savory-chicken-breast-and-brown-rice-bowl
DOG_022,Fresh & Healthy Tofu & Oatmeal Mash,Dog,Adult,"Tofu, Oatmeal, Green Beans, Coconut Oil","137g, 66g, 31g, 6g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans) so they are easily digestible. | Mix the cooked Tofu, Oatmeal, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",176,9.4,7.2,20.1,"Riboflavin, Vitamin C","Selenium, Iron, Manganese, Zinc",25 mins,Easy,"Joint Health, Skin & Coat","Joint Health Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-fresh-and-healthy-tofu-and-oatmeal-mash
DOG_023,Wholesome Tofu & Pumpkin Puree Loaf,Dog,Adult,"Tofu, Pumpkin Puree, Broccoli, Peas, Flaxseed Oil","136g, 56g, 33g, 56g, 15g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Peas) so they are easily digestible. | Mix the cooked Tofu, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",104,5.2,7.4,5.5,"Vitamin C, Vitamin B12","Magnesium, Zinc, Copper",20 mins,Easy,"Weight Management, Skin & Coat","Weight Management Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-wholesome-tofu-and-pumpkin-puree-loaf
DOG_024,Wholesome Venison & Potato Loaf,Dog,Baby,"Venison, Potato, Broccoli, Celery, Peas, Salmon Oil","127g, 133g, 53g, 74g, 35g, 10g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Celery, Peas) so they are easily digestible. | Mix the cooked Venison, Potato, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",102,10.3,3.3,7.7,"Riboflavin, Vitamin C, Thiamine","Selenium, Potassium, Manganese",15 mins,Medium,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-wholesome-venison-and-potato-loaf
DOG_025,Fresh & Healthy Turkey Breast & Sweet Potato Mash,Dog,Adult,"Turkey Breast, Sweet Potato, Celery, Olive Oil","204g, 81g, 74g, 14g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery) so they are easily digestible. | Mix the cooked Turkey Breast, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",129,16.9,4.6,4.9,"Riboflavin, Folic Acid","Phosphorus, Copper, Potassium",25 mins,Easy,"Joint Health, Weight Management","Joint Health Support, Weight Management Support",https://pawfeed.ai/recipes/dog-fresh-and-healthy-turkey-breast-and-sweet-potato-mash
DOG_026,Wholesome Salmon Fillet & Brown Rice Bake,Dog,Adult,"Salmon Fillet, Brown Rice, Zucchini, Flaxseed Oil","187g, 74g, 48g, 8g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini) so they are easily digestible. | Mix the cooked Salmon Fillet, Brown Rice, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",173,12.6,10.4,5.8,"Vitamin B12, Thiamine, Riboflavin","Potassium, Zinc, Copper, Magnesium",30 mins,Easy,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/dog-wholesome-salmon-fillet-and-brown-rice-bake
DOG_027,Premium Salmon Fillet & White Rice Bake,Dog,Adult,"Salmon Fillet, White Rice, Carrots, Coconut Oil","216g, 147g, 80g, 15g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Salmon Fillet, White Rice, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",175,10.5,9.5,10.7,"Thiamine, Niacin, Folic Acid, Vitamin D3","Potassium, Zinc",15 mins,Medium,High Protein,High Protein Support,https://pawfeed.ai/recipes/dog-premium-salmon-fillet-and-white-rice-bake
DOG_028,Premium Chicken Breast & Brown Rice Bake,Dog,Senior,"Chicken Breast, Brown Rice, Celery, Zucchini, Broccoli, Olive Oil","121g, 102g, 39g, 56g, 20g, 7g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery, Zucchini, Broccoli) so they are easily digestible. | Mix the cooked Chicken Breast, Brown Rice, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",115,12.1,3.7,8.0,"Riboflavin, Vitamin E, Vitamin A, Vitamin B12","Potassium, Phosphorus, Iron",15 mins,Medium,Weight Management,Weight Management Support,https://pawfeed.ai/recipes/dog-premium-chicken-breast-and-brown-rice-bake
DOG_029,Slow-Cooked Cod Fillet & Sweet Potato Mash,Dog,Baby,"Cod Fillet, Sweet Potato, Spinach, Green Beans, Salmon Oil","155g, 90g, 23g, 76g, 9g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Green Beans) so they are easily digestible. | Mix the cooked Cod Fillet, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",89,8.9,3.0,6.8,"Niacin, Vitamin C, Vitamin A","Potassium, Zinc",20 mins,Easy,"Skin & Coat, General Wellness","Skin & Coat Support, General Wellness Support",https://pawfeed.ai/recipes/dog-slow-cooked-cod-fillet-and-sweet-potato-mash
DOG_030,Slow-Cooked Turkey Breast & Quinoa Puree topper,Dog,Baby,"Turkey Breast, Quinoa, Celery, Peas, Flaxseed Oil","140g, 131g, 40g, 71g, 10g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery, Peas) so they are easily digestible. | Mix the cooked Turkey Breast, Quinoa, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",127,13.2,3.8,9.9,"Vitamin B12, Vitamin C, Riboflavin, Thiamine","Magnesium, Potassium, Phosphorus, Selenium",15 mins,Medium,Digestive Health,Digestive Health Support,https://pawfeed.ai/recipes/dog-slow-cooked-turkey-breast-and-quinoa-puree-topper
DOG_031,Slow-Cooked Lamb Lean & Pumpkin Puree Stew,Dog,Baby,"Lamb Lean, Pumpkin Puree, Celery, Coconut Oil","176g, 150g, 74g, 13g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery) so they are easily digestible. | Mix the cooked Lamb Lean, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",163,11.1,12.2,2.9,"Thiamine, Folic Acid, Riboflavin, Vitamin A","Selenium, Zinc",30 mins,Easy,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/dog-slow-cooked-lamb-lean-and-pumpkin-puree-stew
DOG_032,Hearty Pork Loin & Potato Bake,Dog,Baby,"Pork Loin, Potato, Peas, Coconut Oil","233g, 82g, 46g, 5g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas) so they are easily digestible. | Mix the cooked Pork Loin, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",193,18.3,10.4,5.6,"Vitamin C, Vitamin B12, Niacin","Manganese, Phosphorus",15 mins,Medium,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-hearty-pork-loin-and-potato-bake
DOG_033,Nutrient-Rich Chicken Breast & Barley Puree topper,Dog,Baby,"Chicken Breast, Barley, Spinach, Green Beans, Olive Oil","160g, 96g, 65g, 26g, 6g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Green Beans) so they are easily digestible. | Mix the cooked Chicken Breast, Barley, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",193,18.1,4.0,21.0,"Vitamin E, Vitamin A","Selenium, Calcium, Copper",25 mins,Easy,Joint Health,Joint Health Support,https://pawfeed.ai/recipes/dog-nutrient-rich-chicken-breast-and-barley-puree-topper
DOG_034,Hearty Pork Loin & Sweet Potato Bowl,Dog,Baby,"Pork Loin, Sweet Potato, Carrots, Olive Oil","162g, 92g, 39g, 10g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Pork Loin, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",190,15.0,10.8,7.3,"Vitamin D3, Vitamin E","Copper, Potassium",30 mins,Easy,Puppy/Kitten,Puppy/Kitten Support,https://pawfeed.ai/recipes/dog-hearty-pork-loin-and-sweet-potato-bowl
DOG_035,Wholesome Chicken Breast & Quinoa Bake,Dog,Senior,"Chicken Breast, Quinoa, Zucchini, Spinach, Coconut Oil","248g, 150g, 22g, 33g, 8g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Spinach) so they are easily digestible. | Mix the cooked Chicken Breast, Quinoa, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",145,18.4,4.3,7.2,"Vitamin E, Vitamin A, Vitamin B12","Manganese, Selenium",15 mins,Medium,"General Wellness, Weight Management","General Wellness Support, Weight Management Support",https://pawfeed.ai/recipes/dog-wholesome-chicken-breast-and-quinoa-bake
DOG_036,Wholesome Pork Loin & Sweet Potato Bake,Dog,Senior,"Pork Loin, Sweet Potato, Green Beans, Zucchini, Flaxseed Oil","105g, 133g, 73g, 27g, 11g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Zucchini) so they are easily digestible. | Mix the cooked Pork Loin, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",141,9.2,7.5,9.3,"Vitamin C, Riboflavin, Folic Acid","Phosphorus, Selenium",30 mins,Easy,"High Protein, General Wellness","High Protein Support, General Wellness Support",https://pawfeed.ai/recipes/dog-wholesome-pork-loin-and-sweet-potato-bake
DOG_037,Fresh & Healthy Cod Fillet & Quinoa Loaf,Dog,Senior,"Cod Fillet, Quinoa, Zucchini, Broccoli, Peas, Olive Oil","240g, 106g, 32g, 26g, 63g, 14g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Broccoli, Peas) so they are easily digestible. | Mix the cooked Cod Fillet, Quinoa, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",107,10.9,3.8,7.0,"Vitamin C, Vitamin E, Vitamin A, Folic Acid","Potassium, Selenium",20 mins,Medium,"High Protein, General Wellness","High Protein Support, General Wellness Support",https://pawfeed.ai/recipes/dog-fresh-and-healthy-cod-fillet-and-quinoa-loaf
